id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
"177114","result","466","0",,,,,,"🔴 Hier soir, le #cyclone tropical #Freddy a touché de plein fouet le Nord-Est de #Madagascar et causé 4 décès.  ➡️ Présentes sur place, les équipes de @MdM_France s'étaient préparées : 2 cliniques mobiles sont déployées pour apporter des soins d'urgence. https://t.co/tMb48W8Ije","1628450552551026688","f","f","6",,,,,,,,,,,,,"Médecins du Monde",,,"2023-02-22 17:44:01+00","0","6","0","https://twitter.com/MdM_France/status/1628450552551026688","113398253","MdM_France","1241","2024-06-06 20:21:31.185055+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177115","result","467","0",,,,,,"Plusieurs rassemblements en l'honneur d'Olivier auront lieu le dimanche 26 février, pour poursuivre cette mobilisation.   En France, le rendez-vous est donné à #Lyon :  📍 Quai Victor Augagneur (pont de la Guillotière) 🕐De 18h à 19h","1628093218133884933","f","f","7",,,,,,,,,,,,,"Médecins du Monde",,,"2023-02-21 18:04:06+00","0","8","0","https://twitter.com/MdM_France/status/1628093218133884933","113398253","MdM_France","1232","2024-06-06 20:21:31.65644+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177116","result","468","0",,,,,,"[#FreeOlivierVandecasteele] Alors que les conditions d’isolement d'#OlivierVandecasteele, détenu en Iran depuis bientôt un an, pèsent lourdement sur sa santé, @MdM_France reste plus que jamais mobilisée pour sa libération immédiate.  ✍️ La pétition : https://t.co/p6EX9oyapy https://t.co/IQT8AcTbvZ","1628071297778425858","f","f","25","https://pbs.twimg.com/ext_tw_video_thumb/1628070884706590720/pu/img/r_Kj5hcVWH3V1Z2m.jpg","video","https://video.twimg.com/ext_tw_video/1628070884706590720/pu/vid/320x568/g-h9nDddpumo_X3Y.mp4?tag=12",,,,,,,,,,"Médecins du Monde",,,"2023-02-21 16:37:00+00","0","25","1","https://twitter.com/MdM_France/status/1628071297778425858","113398253","MdM_France","2590","2024-06-06 20:21:32.06664+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177117","result","469","0",,,,,,"Depuis qu'un campement de personnes exilées a été déplacé par les autorités sur cette zone marécageuse à #LoonPlage, @MdM_France alerte sur les risques sur leur santé, notamment dus à l'absence d'accès à l'eau.  ➡️ L'accès à l'eau est une question de survie et de santé publique !","1628041515976085504","f","t","13",,,,,,,,,,,,,"Médecins du Monde",,,"2023-02-21 14:38:39+00","0","6","1","https://twitter.com/MdM_France/status/1628041515976085504","113398253","MdM_France","2429","2024-06-06 20:21:32.46581+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177118","result","470","0",,,,,,"[📽️#Reportage] À #Madagascar, les enfants souffrant de malformations labio-palatines peinent à être soignés, faute de moyens &amp; de soins disponibles.   En 2022, le jeune Brice-Lane s’est fait opérer pour la 2e fois avec l'#OpérationSourire de @MdM_France 👇 https://t.co/rAYVyIz6Z7","1627352311310737408","f","f","9",,,,,,,,,,,,,"Médecins du Monde",,,"2023-02-19 17:00:00+00","0","6","1","https://twitter.com/MdM_France/status/1627352311310737408","113398253","MdM_France","2405","2024-06-06 20:21:32.838313+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177119","result","471","0",,,,,,"⚠️ Il est urgent que la 🇫🇷 se mette en conformité avec les droits de l'enfant et que chaque #MNA soit considéré comme un enfant et protégé comme tel jusqu’à décision judiciaire définitive !  [3/3]","1626625666933313538","f","f","5",,,,,,,,,,,,,"Médecins du Monde",,,"2023-02-17 16:52:34+00","0","3","1","https://twitter.com/MdM_France/status/1626625666933313538","113398253","MdM_France","1327","2024-06-06 20:21:33.31269+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177120","result","472","0",,,,,,"Cette décision confirme les observations que nous faisons depuis des années et les recommandations que nous avons collectivement formulées dans ce #rapport publié la semaine dernière 👇  #ProtectionMineursIsolés [2/3] https://t.co/rzoo5d4UOg","1626625665263861772","f","f","4",,,,,,,,,,,,,"Médecins du Monde",,,"2023-02-17 16:52:34+00","0","2","1","https://twitter.com/MdM_France/status/1626625665263861772","113398253","MdM_France","1410","2024-06-06 20:21:33.691364+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177121","result","473","1",,,,,,"📣 @MdM_France salue cette décision du Comité des Droits de l’Enfant qui sanctionne la #France pour les défaillances dans l'accueil d'un #MNA et la détermination de son âge.  #Enfantsavantmigrants ⬇️ [1/3]","1626625663338676229","f","t","23",,,,,,,,,,,,,"Médecins du Monde","https://twitter.com/_InfoMIE/status/Field","1625447023376797696","2023-02-17 16:52:34+00","0","10","1","https://twitter.com/MdM_France/status/1626625663338676229","113398253","MdM_France","3988","2024-06-06 20:21:34.066993+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177122","result","474","0",,,,,,"Suite au recours déposé par @MdM_France &amp; 7 autres assos, le @Conseil_Etat annule les lignes directrices relatives au criblage des bénéficiaires.  Nous nous en réjouissons &amp; réaffirmons notre engagement pour la préservation des principes humanitaires.  👉 https://t.co/Gs9Ns2JvdJ https://t.co/anIHubUji1","1626603733810352134","f","f","8","https://pbs.twimg.com/media/FpLWrDSagAAmNxR.jpg","photo","https://pbs.twimg.com/media/FpLWrDSagAAmNxR.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-02-17 15:25:25+00","0","4","0","https://twitter.com/MdM_France/status/1626603733810352134","113398253","MdM_France","2392","2024-06-06 20:21:34.50932+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177137","result","475","0",,,,,,"[#UrgenceSéisme]  En #Turquie 🇹🇷 et en #Syrie 🇸🇾, ""les besoins étaient énormes avant les séismes, ce qui ne fait que complexifier l'#urgence sanitaire et #humanitaire"".  @JoelWeilerMdM, Directeur général de @MdM_France, invité au Before de @Backseat_fr 👇 https://t.co/PY8h4GO4uc","1626574593640243203","f","f","6",,,,,,,,,,,,,"Médecins du Monde",,,"2023-02-17 13:29:38+00","1","3","0","https://twitter.com/MdM_France/status/1626574593640243203","113398253","MdM_France","6377","2024-06-06 20:21:40.251283+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177139","result","476","3",,,,,,"L'annonce dévastatrice de la mort de 4 de nos collègues dans les séismes en Turquie et en Syrie endeuille la communauté Médecins du Monde.   Nos pensées vont à Mohamad Shahin, Ziad Salim, Osama Elabod, Zahia Elomer, et à tous ceux dont la vie a été bouleversée par cette tragédie. https://t.co/Ckm59k30ja","1626268563760611329","f","f","291","https://pbs.twimg.com/media/FpGqempXoAAbQ22.jpg","photo","https://pbs.twimg.com/media/FpGqempXoAAbQ22.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-02-16 17:13:34+00","7","85","11","https://twitter.com/MdM_France/status/1626268563760611329","113398253","MdM_France","15769","2024-06-06 20:21:40.633457+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"177141","result","477","0",,,,,,"« Aujourd’hui comme hier, l’aide internationale est un levier de pouvoir et on assiste déjà à une concurrence des détresses. »  ➡️ @FSivignon, vice-présidente de @MdM_France interpelle sur les conséquences des #séismes en #Turquie et en #Syrie au #CESE. https://t.co/J2XrEC0UWk","1626261313222586368","f","f","20","https://pbs.twimg.com/ext_tw_video_thumb/1626260081003175940/pu/img/3oet3eNzdaFufZxo.jpg","video","https://video.twimg.com/ext_tw_video/1626260081003175940/pu/vid/480x270/mhEOvYCdr4p6KuV9.mp4?tag=12",,,,,,,,,,"Médecins du Monde",,,"2023-02-16 16:44:46+00","1","4","1","https://twitter.com/MdM_France/status/1626261313222586368","113398253","MdM_France","2406","2024-06-06 20:21:41.029443+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
